,station,station_id,total_out,total_in,station_lat,station_long,station_bikes,differences
336,14th St & Spring Rd NW,29,7345,6538,38.9375,-77.0328,19,0.89
337,John McCormack Dr & Michigan Ave NE,30,2221,2170,38.9346,-76.9955,11,0.98
338,S Reynolds St & Edsall Rd,725,0,0,38.809607,-77.128908,15,1.0
339,King St & N Pitt St,726,0,0,38.804801,-77.044676,15,1.0
340,Braddock Rd Metro South,727,0,0,38.813474,-77.053734,19,1.0
341,16th & Harvard St NW,728,1536,956,38.926102,-77.03665,19,0.62
342,First St & Fayette St,729,0,0,38.817019,-77.050105,16,1.0
343,Penrose Sq/Columbia Pike & S Barton St,730,0,0,38.863508,-77.084259,15,1.0
344,S Wakefield St & 28th Rd S,731,0,0,38.84404,-77.098093,15,1.0
345,19th & G St NW,357,3193,3244,38.898412,-77.043182,23,1.02
346,2nd St & Seaton Pl NE,358,3973,3662,38.914751,-77.00356,19,0.92
347,Wilson Blvd & N Illinois St ,359,981,984,38.876528,-77.12712,15,1.0
348,Army Navy Dr & S Nash St,364,427,307,38.86215,-77.068121,11,0.72
349,Thomas Jefferson St NW & Water/K St NW,365,4606,6605,38.902826,-77.060173,19,1.43
350,11th & S St NW,367,9406,9206,38.913761,-77.027025,23,0.98
351,Walter Reed Dr & 8th St S,368,1037,962,38.86612,-77.08787,15,0.93
352,2nd & G St NE,369,8701,8929,38.89967,-77.003666,23,1.03
353,8th & O St NW,370,18869,18799,38.90864,-77.02277,19,1.0
354,Georgia & Missouri Ave NW,371,1916,1502,38.961339,-77.027855,19,0.78
355,Oklahoma Ave & D St NE,373,3149,3272,38.894474,-76.974828,19,1.04
356,Maryland Ave & E St NE,374,6688,6022,38.896226,-76.992786,19,0.9
357,New York Ave & Hecht Ave NE,375,6766,7218,38.915604,-76.983683,23,1.07
358,Yuma St & Tenley Circle NW,376,707,365,38.946182,-77.08059,19,0.52
359,Connecticut Ave & Chevy Chase Lake Dr,377,415,390,38.994113,-77.076986,15,0.94
360,Key West Ave & Siesta Key Way,378,168,155,39.105295,-77.194774,15,0.92
361,Langston Blvd & N Woodstock St,379,421,302,38.898301,-77.118009,19,0.72
362,Saint Asaph St & Madison St,380,1070,1069,38.812718,-77.044097,15,1.0
363,King St Metro North / Cameron St,381,1956,1972,38.80704,-77.059817,15,1.01
364,Madison St & N Henry St,382,819,782,38.813485,-77.049468,15,0.95
365,Medical Center Metro ,383,621,457,38.999378,-77.097882,19,0.74
366,Washington Blvd & N Frederick St,384,361,305,38.884829,-77.127671,11,0.84
367,Wisconsin Ave & Ingomar St NW,385,1299,949,38.958267,-77.084636,19,0.73
368,16th & Irving St NW,386,6201,4988,38.928893,-77.03625,19,0.8
369,16th & R St NW,387,8847,8502,38.912652,-77.036278,19,0.96
370,Lyttonsville Rd & Lyttonsville Pl,388,352,345,38.999679,-77.051168,15,0.98
371,Woodmont Ave & Strathmore St,389,2054,1855,38.979875,-77.093522,11,0.9
372,14th & L St NW,390,8356,8432,38.903658,-77.031737,19,1.01
373,1st & O St NW,391,7208,6539,38.908643,-77.012365,15,0.91
374,South Capitol & Atlantic St SW,392,320,315,38.831516,-77.008133,19,0.98
375,18th & C St NW,393,3269,3696,38.893511,-77.041544,19,1.13
376,22nd & P ST NW,394,10535,11021,38.909394,-77.048728,19,1.05
377,East West Hwy & 16th St,395,658,596,38.995681,-77.038721,19,0.91
378,Royal St & Wilkes St,396,1103,1167,38.799267,-77.0447,15,1.06
379,14th & Girard St NW,397,5646,4208,38.925284,-77.032375,23,0.75
380,Potomac Ave & Main Line Blvd,398,1160,1147,38.822738,-77.049265,19,0.99
381,11th & O St NW,399,11052,10070,38.90843,-77.02714,19,0.91
382,10th St & L'Enfant Plaza SW,400,6449,5728,38.884323,-77.02601,23,0.89
383,Connecticut Ave & Yuma St NW,401,1998,1884,38.947156,-77.065115,19,0.94
384,2nd St & Massachusetts Ave NE,402,7836,7661,38.894972,-77.003135,23,0.98
385,Radford St & Osage St,403,375,322,38.828437,-77.086031,23,0.86
386,East Falls Church Metro / Sycamore St & 19th St N,404,1571,1547,38.885321,-77.156427,19,0.98
387,Kennebec St & 11th St N,405,808,820,38.880992,-77.135271,15,1.01
388,Commonwealth Ave & Oak St,406,318,303,38.812711,-77.061715,15,0.95
389,Commonwealth Ave & E Monroe Ave,407,498,484,38.820058,-77.062821,15,0.97
390,4th St & Madison Dr NW,408,27910,27029,38.890496,-77.017247,31,0.97
391,Henry Bacon Dr & Lincoln Memorial Circle NW,409,23823,23634,38.890539,-77.049383,19,0.99
392,17th St & Independence Ave SW,410,15863,15600,38.888097,-77.038325,19,0.98
393,Franklin St & S Washington St,411,1066,1144,38.798133,-77.0487,19,1.07
394,Mount Vernon Ave & Four Mile Run Park,412,922,1012,38.843422,-77.064016,15,1.1
395,New Jersey Ave & K St NW,413,0,0,38.902571,-77.013667,23,1.0
396,Mount Vernon Ave & Bruce St,414,528,567,38.841291,-77.063093,15,1.07
397,Lee Center,415,286,260,38.797557,-77.053766,15,0.91
398,Powhatan St & Bashford Ln,416,795,810,38.818748,-77.047783,15,1.02
399,Potomac Ave & Swann Ave,417,2623,2691,38.829545,-77.047844,19,1.03
400,14th & Irving St NW,418,16762,12875,38.928552,-77.032224,31,0.77
401,Vermont Ave & I St NW,419,8197,9067,38.901136,-77.034451,25,1.11
402,Wisconsin Ave & Brandywine St NW,420,1611,1214,38.949813,-77.080217,25,0.75
403,24th & R St NE / National Arboretum,421,3161,3115,38.91263,-76.971923,19,0.99
404,Division Ave & Foote St NE,422,103,99,38.897407,-76.925907,15,0.96
405,16th & Q St SE / Anacostia HS,423,473,477,38.870695,-76.982359,23,1.01
406,Spring Hill Metro,424,119,121,38.929261,-77.240654,15,1.02
407,Westpark Dr & Leesburg Pike,425,191,198,38.92403,-77.235955,11,1.04
408,Tysons One Pl & Chain Bridge Rd,427,216,192,38.919475,-77.221179,11,0.89
409,Tysons Corner Station,428,384,390,38.920939,-77.222115,11,1.02
410,Westpark & Jones Branch Dr,429,191,186,38.924437,-77.217664,11,0.97
411,Jones Branch & Westbranch Dr,430,58,81,38.931911,-77.219261,13,1.4
412,Westpark & Park Run Dr,431,117,126,38.928919,-77.225394,11,1.08
413,Tysons West Transit Center,432,146,141,38.932636,-77.231825,11,0.97
414,North Shore & Cameron Crescent Dr/Crescent Apartments,433,85,98,38.970046,-77.338686,11,1.15
415,Town Center Pkwy & Bowman Towne Dr,434,196,204,38.962524,-77.361902,15,1.04
416,Reston Regional Library,435,67,53,38.962095,-77.358815,15,0.79
417,New Dominion Pkwy & Fountain Dr,436,208,161,38.960574,-77.356324,15,0.77
418,Sunset Hills & Old Reston Ave,437,351,360,38.955079,-77.351649,15,1.03
419,Reston Town Center Transit Station,438,618,626,38.957037,-77.359718,17,1.01
420,1st & D St SE,439,6809,7013,38.884916,-77.005965,19,1.03
421,Wiehle Ave & Reston Station Blvd,440,502,483,38.946608,-77.339391,19,0.96
422,Library St & Freedom Dr,441,311,315,38.959633,-77.358741,19,1.01
423,Sunset Hills Rd & Discovery Square,442,249,230,38.95534,-77.357611,15,0.92
424,22nd St & Constitution Ave NW,443,5048,4688,38.892441,-77.048947,23,0.93
425,61st St & Banks Pl NE,444,214,234,38.891805,-76.913563,19,1.09
426,Temporary Rd & Old Reston Ave,445,189,166,38.960084,-77.353414,15,0.88
427,Reston YMCA,446,201,229,38.955314,-77.368416,15,1.14
428,Sunset Hills Rd & Isaac Newton Square,447,853,852,38.951443,-77.340377,11,1.0
429,N Lynn St & Fairfax Dr,448,3860,4250,38.89386,-77.070862,15,1.1
430,Georgia Ave & Piney Branch Rd NW,449,1431,1247,38.967505,-77.027976,15,0.87
431,Greensboro & International Dr,450,98,81,38.923083,-77.227417,11,0.83
432,Madison St & Fairfax St,451,2101,2261,38.812351,-77.040691,15,1.08
433,Sligo Ave & Carroll Ln,452,428,422,38.990874,-77.016311,15,0.99
434,15th & W St NW,453,17637,17323,38.919019,-77.034449,19,0.98
435,12th St & Pennsylvania Ave SE,454,5148,5022,38.882489,-76.990121,19,0.98
436,3rd St & Riggs Rd NE,455,795,816,38.957463,-77.002239,15,1.03
437,Carlin Springs Rd & N Thomas St,456,937,820,38.876695,-77.112982,15,0.88
438,Towers Crescent Dr & Tysons One Pl,457,48,63,38.915246,-77.220157,11,1.31
439,6th & K St NE,458,5566,5748,38.902932,-76.998405,19,1.03
440,Pooks Hill Rd & Linden Ave,459,344,330,39.014716,-77.107143,15,0.96
441,Takoma Park Rec Center,460,175,201,38.98265,-76.988311,15,1.15
442,New Hampshire & Kirklynn Ave,461,226,284,38.988101,-76.988422,15,1.26
443,Wheaton Metro / Georgia Ave & Reedie Dr,462,403,365,39.038424,-77.05102,19,0.91
444,Amherst Ave & Elkins St,463,211,219,39.044887,-77.047788,15,1.04
445,Amherst Ave & Prichard Rd,464,151,134,39.035965,-77.048395,15,0.89
446,Grandview & Blueridge Ave,465,262,253,39.043272,-77.053085,15,0.97
447,Windham Ln & Amherst Ave,466,173,184,39.032029,-77.04735,15,1.06
448,North Shore Dr & Village Rd,467,154,191,38.970412,-77.340787,11,1.24
449,Town Center Pkwy & Sunset Hills Rd,468,154,151,38.955171,-77.363094,11,0.98
450,3rd & Underwood St NW,469,922,887,38.968834,-77.016258,19,0.96
451,18th & Monroe St NE,470,575,743,38.93293,-76.979517,19,1.29
452,7th & E St SW,471,2975,3325,38.88345,-77.021741,19,1.12
453,Shady Grove Metro East,472,140,127,39.121327,-77.164969,19,0.91
454,Potomac & M St NW,473,10447,12868,38.905509,-77.065246,19,1.23
455,Columbia & Ontario Rd NW,474,13078,9340,38.924088,-77.040787,23,0.71
456,Washington-Liberty High School / N Stafford St & Generals Way,475,1116,1002,38.888282,-77.111066,15,0.9
457,Westover Library / Washington Blvd & N McKinley Rd,476,275,290,38.886048,-77.142317,15,1.05
458,Columbia Pike & George Mason Dr,477,251,280,38.859306,-77.102019,15,1.12
459,Columbus Ave & Tribeca St,478,33,30,39.125828,-77.167059,11,0.91
460,Columbus Ave & Gramercy Blvd,479,170,154,39.12333,-77.16486,11,0.91
461,Reston Pkwy & Spectrum Dr,480,80,68,38.964208,-77.35428,15,0.85
462,Key West Ave & Great Seneca Hwy,481,88,89,39.105642,-77.20386,11,1.01
463,Virginia Ave & 25th St NW,482,5547,6507,38.8995,-77.054155,19,1.17
464,15th & M St NW,483,8380,7774,38.905424,-77.034674,19,0.93
465,11th & Girard St NW,484,10131,7427,38.925636,-77.027112,19,0.73
466,Connecticut Ave & R St NW,485,10302,10635,38.912644,-77.04564,19,1.03
467,Wilson Blvd & N Troy St,486,1843,1343,38.892556,-77.082089,15,0.73
468,American University East Campus,487,2761,1818,38.936298,-77.087128,19,0.66
469,15th St & Constitution Ave NW,488,15975,17547,38.892244,-77.033234,19,1.1
470,23rd & M St NW,490,14801,17166,38.905303,-77.050264,19,1.16
471,Corporate Blvd & Omega Dr,491,99,102,39.106971,-77.192645,15,1.03
472,Key West Ave & Diamondback Dr,492,127,125,39.106152,-77.202354,11,0.98
473,Alabama Ave & Stanton Rd SE / Shops at Park Village,493,335,288,38.84627,-76.98185,19,0.86
474,Mississippi Ave & 19th St SE / THEARC,494,224,235,38.84377,-76.97557,19,1.05
475,19th & Savannah St SE,495,87,86,38.84623,-76.97703,11,0.99
476,4th St & Mississippi Ave SE,496,378,410,38.836,-77.0009,19,1.08
477,1st & S Capitol St SE / Oxon Run Trail,497,677,769,38.824481,-77.005497,19,1.14
478,Livingston Rd & 3rd St SE,498,403,396,38.82373,-77.00223,15,0.98
479,Joliet St & MLK Ave SW/Bald Eagle Rec Ctr,499,64,44,38.81909,-77.01033,19,0.69
480,37th & Ely Pl SE,500,74,73,38.883011,-76.949709,15,0.99
481,15th St & Pennsylvania Ave NW,501,9529,10905,38.896465,-77.033381,19,1.14
482,Maine Ave & 9th St SW,505,13880,15216,38.88044,-77.025236,15,1.1
483,Lincoln Rd & Seaton Pl NE/Harry Thomas Rec Center,506,2606,2146,38.915,-77.0078,19,0.82
484,Blueridge Ave & Elkin St,507,76,75,39.04313,-77.05006,15,0.99
485,Georgia Ave & Kennedy St NW,508,1041,900,38.95674,-77.02791,19,0.86
486,7th St & Massachusetts Ave NE,509,5455,4407,38.89222,-76.99602,19,0.81
487,Anacostia Park,510,2472,2412,38.87335,-76.9834,19,0.98
488,Twinbrook Metro,511,299,275,39.062041,-77.120776,14,0.92
489,White Flint Metro,512,434,293,39.04753,-77.11287,25,0.68
490,Citadel Ave & McGrath Blvd,513,362,360,39.049,-77.10933,15,0.99
491,Rockville Pike & Old Georgetown Rd,514,348,339,39.049765,-77.11368,15,0.97
492,Woodglen Dr & Executive Blvd,515,717,731,39.04317,-77.1135,16,1.02
493,Executive Blvd & E Jefferson St,516,258,305,39.04873,-77.1257,15,1.18
494,Fishers Ln & Rock Creek Mill Rd,517,137,97,39.0629,-77.113454,15,0.71
495,Congressional Ln & E Jefferson St,518,215,256,39.06219,-77.129235,15,1.19
496,Garland Ave & Walden Rd,519,475,469,39.00048,-77.00077,15,0.99
497,Greensboro & Pinnacle Dr,520,89,63,38.92245,-77.23034,13,0.71
498,1301 McCormick Dr / Wayne K. Curry Admin Bldg,521,71,66,38.908391,-76.843263,15,0.93
499,Largo Town Center Metro,522,244,205,38.899811,-76.844604,17,0.84
500,Baltimore Ave & Van Buren St / Riverdale Park Station,523,706,710,38.969581,-76.937349,17,1.01
501,Baltimore Ave & Jefferson St,524,699,761,38.95548,-76.940133,15,1.09
502,Perry & 35th St,525,432,493,38.936213,-76.960054,15,1.14
503,Potomac Ave & Half St SW,527,2744,2749,38.869683,-77.010815,23,1.0
504,Largo Rd & Campus Way / Prince Georges's Comm Col,530,168,199,38.88994,-76.825535,15,1.18
505,Stanton Square SE,531,193,134,38.855004,-76.984512,19,0.69
506,14th & Newton St NW,532,7833,6237,38.931991,-77.032956,19,0.8
507,48th Pl & MacArthur Blvd NW,533,1431,1359,38.917036,-77.095782,19,0.95
508,14th & Luzon St NW,534,1378,1319,38.969489,-77.033509,19,0.96
509,1st & M St SE,535,7223,7513,38.876893,-77.006072,19,1.04
510,Fleet St & Waterfront St,536,682,605,38.782633,-77.016059,15,0.89
511,Oxon Hill Park & Ride,537,146,99,38.798749,-77.00103,15,0.68
512,11th & Park Rd NW,538,8639,6216,38.931322,-77.028247,19,0.72
513,4th & M St SE,539,6941,8786,38.876751,-77.000736,19,1.27
514,Kansas Ave & Sherman Cr NW,540,3665,2742,38.947962,-77.02155,19,0.75
515,Campus Commons,541,49,53,38.944707,-77.335425,11,1.08
516,Park Run & Onyx Dr,542,347,323,38.92755,-77.226644,11,0.93
517,7th & K St NW,543,12024,13056,38.902674,-77.021392,19,1.09
518,King Greenleaf Rec Center,544,2495,2911,38.876211,-77.012443,19,1.17
519,Montello Ave & Holbrook Terr NE,545,3323,3110,38.907444,-76.986813,19,0.94
520,New Jersey Ave & F St NW,546,10667,11794,38.897108,-77.011616,33,1.11
521,Maryland Ave & 17th St NE,547,2960,2655,38.901935,-76.978627,19,0.9
522,Massachusetts Ave & 6th St NE,548,7413,6019,38.892934,-76.998273,19,0.81
523,Woodley Park Metro / Calvert St & Connecticut Ave NW,549,9329,6695,38.923389,-77.051833,23,0.72
524,McLean Metro,550,142,155,38.924002,-77.208127,19,1.09
525,Trinidad Rec Center,551,1177,1066,38.906299,-76.983221,19,0.91
526,Rosedale Rec Center,552,2120,2096,38.897808,-76.979634,19,0.99
527,11th & C St SE,553,5736,5638,38.885908,-76.991476,19,0.98
528,New Hampshire & Gallatin St NW,554,1604,1313,38.951596,-77.012808,19,0.82
529,United Medical Center,555,84,80,38.835737,-76.983144,19,0.95
530,18th & New Hampshire Ave NW,556,13437,12973,38.911268,-77.041829,19,0.97
531,Dunn Loring Metro,560,640,605,38.8828,-77.2283,19,0.95
532,Oglethorpe St & 42nd Ave,561,434,469,38.959361,-76.946361,15,1.08
533,Southern Ave Metro,562,127,108,38.840107,-76.9753,15,0.85
534,Queens Chapel & Hamilton St,563,432,430,38.9546,-76.9595,15,1.0
535,Northwestern High School,564,159,166,38.975505,-76.952199,15,1.04
536,New Hampshire Ave & East-West Hwy,565,212,209,38.974205,-76.995227,15,0.99
537,Rhode Island Ave & 39th St / Brentwood Arts Exchange,566,467,518,38.939271,-76.955047,15,1.11
538,Riggs Rd & East West Hwy,567,228,239,38.9725,-76.9807,17,1.05
539,Tanger Outlets,568,741,664,38.7968,-77.0026,15,0.9
540,Chillum Rd & Riggs Rd / Riggs Plaza,569,989,866,38.961737,-76.995922,15,0.88
541,Hyattsville Library / Adelphi Rd & Toledo Rd,570,143,154,38.9698,-76.9493,15,1.08
542,Meridian High School / Haycock Rd & Leesburg Pike,571,115,132,38.896419,-77.192688,12,1.15
543,State Theatre / Park Pl & N Washington St,572,169,154,38.882746,-77.170032,12,0.91
544,N Oak St & W Broad St,573,443,448,38.88837,-77.179832,12,1.01
545,Pennsylvania Ave & Park Ave,574,338,379,38.887403,-77.176992,12,1.12
546,E Fairfax St & S Washington St,575,226,238,38.880612,-77.171891,12,1.05
547,N Roosevelt St & Roosevelt Blvd,576,678,640,38.878085,-77.153953,12,0.94
548,W Broad St & Little Falls St,577,435,451,38.883601,-77.173438,12,1.04
549,S Maple Ave & S Washington St,578,599,616,38.87972,-77.178408,12,1.03
550,Falls Church City Hall / Park Ave & Little Falls St,579,317,343,38.885434,-77.173605,12,1.08
551,W Columbia St & N Washington St,580,442,406,38.885621,-77.166917,12,0.92
552,West Falls Church Metro,581,216,173,38.9001,-77.1887,19,0.8
553,Jones Branch Drive & Scotts Crossing Rd,582,58,64,38.928502,-77.215624,11,1.1
554,Georgia Ave & Morton St NW,583,6535,5078,38.932128,-77.0235,19,0.78
555,Merrilee Dr & Lauren Elizabeth Lane,584,272,239,38.879355,-77.230681,11,0.88
556,Merrifield Cinema & Merrifield Town Center,585,528,551,38.870093,-77.22997,11,1.04
557,Rhode Island & Montana Ave NE,586,945,790,38.9243,-76.9859,19,0.84
558,7th & S St NW,587,6801,6395,38.914174,-77.021595,19,0.94
559,North Capitol & R St NE,588,5810,5028,38.912524,-77.008798,15,0.87
560,17th & Upshur St NW,589,1476,1183,38.942146,-77.038684,19,0.8
561,Grant Circle,590,3614,2353,38.942025,-77.018221,19,0.65
562,14th & Otis Pl NW,591,7284,5472,38.934405,-77.032687,27,0.75
563,John McCormack Rd NE,592,1483,1269,38.938889,-76.997226,19,0.86
564,West Hyattsville Metro,593,981,1049,38.955349,-76.968084,17,1.07
565,Capitol Heights Metro,594,243,222,38.888524,-76.913188,19,0.91
566,Prince George's Plaza Metro,595,717,655,38.965742,-76.954803,17,0.91
567,Riverdale Park Town Center,596,864,889,38.962119,-76.935578,17,1.03
568,The Mall at Prince Georges,597,670,699,38.968842,-76.954171,17,1.04
569,Wheaton Library & Community Rec Center,598,114,122,39.047323,-77.051097,11,1.07
570,Edgewood Rec Center,599,3529,3262,38.924144,-77.002098,15,0.92
571,8th & K St NE,601,4091,4080,38.902732,-76.99515,15,1.0
572,Kingman Island/The Fields at RFK,602,2396,2436,38.895955,-76.967845,19,1.02
573,Kenilworth Terrace & Hayes St. NE,603,355,385,38.900468,-76.947287,19,1.08
574,National Harbor Carousel,604,2442,2472,38.7859,-77.0167,15,1.01
575,Valley Ave & Wheeler Rd SE,605,313,293,38.836646,-76.993589,19,0.94
576,Ridge Rd Community Center,606,49,40,38.876227,-76.940981,19,0.82
577,Fort Stanton Rec Center,607,72,59,38.857369,-76.977688,19,0.82
578,Reservoir Rd & 38th St NW,608,6950,6554,38.912614,-77.074323,19,0.94
579,22nd & H St NW,609,6416,6480,38.898925,-77.048852,17,1.01
580,8th & H St NE,610,6916,7101,38.899942,-76.994897,19,1.03
581,Hardy Rec Center,611,2157,2102,38.909701,-77.085646,17,0.97
582,The Shoppes @ Burnt Mills,612,71,177,39.031314,-77.004122,19,2.49
583,Briggs Chaney & Castle Dr,613,168,155,39.081638,-76.945495,19,0.92
584,White Oak Rec Center,614,58,46,39.046144,-76.975723,15,0.79
585,Briggs Chaney Park & Ride,615,278,263,39.077875,-76.941867,23,0.95
586,Stewart & April,616,120,109,39.044944,-76.981155,19,0.91
587,Stewart Ln & Old Columbia Pike,617,111,94,39.045652,-76.985438,19,0.85
588,New Hampshire & Lockwood,618,122,69,39.039102,-76.991824,19,0.57
589,Castle Blvd & Castle Ln,619,137,141,39.085314,-76.940547,19,1.03
590,Oak Leaf & Lockwood,620,136,87,39.037981,-76.994539,19,0.64
591,White Oak Transit Center,621,118,121,39.04104,-76.987125,19,1.03
592,Wilson Blvd. & N. Vermont St.,622,1372,1257,38.879477,-77.114563,12,0.92
593,Oklahoma Ave & Benning Rd NE,623,1453,1497,38.8975,-76.969509,19,1.03
594,Minnesota Ave & R St SE,624,816,822,38.869337,-76.978519,19,1.01
595,Vy Reston Heights,625,252,251,38.949008,-77.355299,11,1.0
596,1st & K St NE,626,11224,11609,38.902386,-77.005649,17,1.03
597,Wheeler Ave & S. Floyd St.,628,278,311,38.808161,-77.100796,12,1.12
598,N. Beauregard St. & Berkley St.,629,473,481,38.840797,-77.108938,19,1.02
599,Mt Vernon Trail & S. Washington St.,630,2485,2494,38.793065,-77.049436,15,1.0
600,Eisenhower Ave & Ike Dr,632,386,355,38.802738,-77.082463,15,0.92
601,Capitol Ave & Kendall St NE,633,1261,1217,38.910993,-76.985854,19,0.97
602,14th & D St SE,634,6344,6263,38.884058,-76.986385,19,0.99
603,Half & Water St SW,636,2553,2522,38.866277,-77.010551,15,0.99
604,14th & Q St NW,637,11077,11336,38.910674,-77.03188,19,1.02
605,13th & U St NW,638,10032,9783,38.916936,-77.029631,19,0.98
606,Stadium Armory Metro,639,2343,2222,38.885483,-76.977187,19,0.95
607,Broad Branch Rd & Northampton St NW,640,517,491,38.965775,-77.068626,19,0.95
608,N Pitt St & Montgomery St,641,996,1206,38.814031,-77.042817,15,1.21
609,Van Dorn Metro,642,0,0,38.800077,-77.129943,19,1.0
610,Duke St & Strand (Robinson Terminal),643,634,758,38.801947,-77.040293,11,1.2
611,21st St & G st NW,645,9498,9650,38.898302,-77.046913,19,1.02
612,4th St & G St SW,646,10308,11004,38.881123,-77.017658,19,1.07
613,Kansas Ave & Longfellow St NW,647,1115,917,38.958098,-77.013821,19,0.82
614,National Airport,648,1293,1374,38.852903,-77.045916,19,1.06
615,Fern St & Army Navy Dr,649,753,841,38.864838,-77.056873,15,1.12
616,Arlington Blvd & Ft Myer Dr,650,1752,1815,38.890863,-77.074893,15,1.04
617,23rd St S & Hayes St,651,984,941,38.853002,-77.059496,15,0.96
618,Wilson Blvd & N Oak St,652,3011,2962,38.895068,-77.07386,17,0.98
619,Arlington Blvd & Fairfax Dr,653,1638,1450,38.886256,-77.084262,16,0.89
620,2nd & V St SW / James Creek Marina,654,2593,2847,38.863743,-77.013814,19,1.1
621,1st St & Potomac Ave SE,655,6250,6425,38.871841,-77.00591,19,1.03
622,20th & Columbia Rd NW,656,8297,5181,38.918036,-77.045487,19,0.62
623,3rd & M st SE,657,2981,4282,38.876823,-77.002161,23,1.44
624,53rd & D St SE/C.W. Harris Elementary,659,145,101,38.883318,-76.925315,19,0.7
625,N Hampton Dr & Ford Ave,662,243,222,38.837306,-77.106111,11,0.91
626,Whiting & Lane Dr,663,90,110,38.809709,-77.135788,15,1.22
627,N Howard St & Taney Ave,664,299,264,38.815842,-77.110014,15,0.88
628,Anacostia Roller Skating Pavillion,665,2277,2297,38.878771,-76.97093,19,1.01
629,S Clark St & 33rd St,667,1014,963,38.845028,-77.051956,11,0.95
630,Columbia Pike & S Greenbrier St,668,645,640,38.854019,-77.118106,15,0.99
631,Kenmore Ave & Seminary Rd,669,189,184,38.828887,-77.110588,11,0.97
632,Rosslyn Metro / Wilson Blvd & N Moore St,670,3334,3956,38.896087,-77.071452,21,1.19
633,W&OD Trail & Langston Blvd,671,134,120,38.88715,-77.16212,15,0.9
634,Roosevelt Center & Crescent Rd,672,183,184,39.00031,-76.878005,15,1.01
635,Crescent Rd & Ridge Rd,673,92,80,39.006191,-76.891247,15,0.87
636,Greenbelt Station Parkway,674,290,291,39.002459,-76.916243,11,1.0
637,Baron Cameron Ave & North Hampton Ave,675,115,121,38.966344,-77.359341,12,1.05
638,Ridge Heights Rd & Seahawks Dr,676,106,97,38.936061,-77.337775,12,0.92
639,Becontree Ln & Goldenrain Ct,677,41,42,38.966848,-77.329282,12,1.02
640,Ring Rd & North Shore Dr,678,59,60,38.970807,-77.326761,12,1.02
641,Reston Pkwy & Bennington Woods Rd,679,128,103,38.973625,-77.351837,12,0.8
642,Inlet Ct & Wiehle Dr,680,19,11,38.965979,-77.334359,12,0.58
643,Fairway Dr & Hook Rd,681,43,39,38.963314,-77.342546,12,0.91
644,Vantage Hill Rd & Wainwright Dr,682,20,17,38.9667,-77.348487,12,0.85
645,Links Dr & Wedge Dr,684,75,63,38.959025,-77.339295,12,0.84
646,Golf Course Sq and Golf Course Dr,685,158,156,38.944013,-77.353552,12,0.99
647,South Lakes Dr and Reston Pkwy,686,63,53,38.94335,-77.362304,12,0.84
648,Olde Crafts Dr and Cartwright Pl,687,57,62,38.938797,-77.354067,12,1.09
649,Green Range Dr and Glade Dr,688,60,60,38.937146,-77.367868,12,1.0
650,South Gate Community Center,689,186,195,38.941496,-77.366499,12,1.05
651,Lake Newport Rd and Autumn Ridge Cir,690,131,136,38.978503,-77.353454,12,1.04
652,Ridge Heights and Owl Cove Ln,691,117,129,38.933923,-77.331653,12,1.1
653,Soapstone Dr Convenience Center,692,44,51,38.93051,-77.345874,12,1.16
654,Columbia Pike & S Scott St/12th St S,693,263,234,38.863556,-77.077201,11,0.89
655,St. Elizabeths West Campus/DHS ,694,196,181,38.853124,-77.005174,19,0.92
656,Long Bridge Aquatic Center,695,354,331,38.870561,-77.044095,12,0.94
657,8th Rd & S Frederick St,696,55,42,38.857049,-77.116339,12,0.76
658,MBT & Bryant St NE,697,2017,1923,38.922404,-76.996023,19,0.95
659,N Howard St & N Imboden St,698,9,8,38.818509,-77.105564,15,0.89
660,Hartland Rd & Harte Pl,701,36,36,38.878601,-77.222808,11,1.0
661,North Village and Park Garden,702,18,17,38.983199,-77.341823,12,0.94
662,8th & V St NW,704,1932,1902,38.917716,-77.022684,19,0.98
663,17th & P St NW,705,3691,3273,38.909858,-77.038566,19,0.89
664,Arizona Ave & MacArthur Blvd NW,706,134,139,38.927294,-77.103662,19,1.04
665,11th & V st NW,707,1620,1200,38.918199,-77.027171,19,0.74
666,4th & Florida Ave NE,708,3688,3691,38.907316,-77.000698,19,1.0
667,S Pickett St & Shillings St,709,36,34,38.804486,-77.132334,15,0.94
668,S Jordan St & Venable St,710,9,11,38.811361,-77.109975,15,1.22
669,King St & Peyton St,711,66,75,38.806002,-77.055911,16,1.14
670,10th & H St NE,712,379,395,38.899984,-76.992725,19,1.04
671,Reed & Edison,713,0,0,38.83728,-77.060899,11,1.0
672,King St & Kenwood Ave,715,11,6,38.824793,-77.085066,16,0.55
673,S Washington St & Wilkes St,716,22,28,38.800703,-77.048043,12,1.27
674,Main Line Blvd & E Glebe,717,69,76,38.832431,-77.049772,19,1.1
675,Commonwealth and Reed,718,42,43,38.836838,-77.057274,16,1.02
676,Fillmore & Bisdorf,719,1,2,38.83863,-77.116206,11,2.0
677,King St & W Braddock Rd,720,0,0,38.827674,-77.088985,15,1.0
678,Holmes Run Pkwy & N Pickett St,721,0,0,38.814305,-77.11893,15,1.0
679,Virginia Theological Seminary,722,0,0,38.820152,-77.093879,11,1.0
680,Duke St & Jordan St,724,0,0,38.812187,-77.10994,16,1.0
